2023-09-15 16:19:39,775 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2023-09-15 16:19:39,795 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2023-09-15 16:19:39,796 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2023-09-15 16:19:39,796 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2023-09-15 16:19:39,798 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2023-09-15 16:19:39,798 INFO  SwAddin.cs: 197 - Setting up callbacks
2023-09-15 16:19:39,799 INFO  SwAddin.cs: 201 - Setting up command manager
2023-09-15 16:19:39,799 INFO  SwAddin.cs: 204 - Adding command manager
2023-09-15 16:19:39,802 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2023-09-15 16:19:39,805 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2023-09-15 16:19:39,806 INFO  SwAddin.cs: 210 - Adding event handlers
2023-09-15 16:19:39,807 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2023-09-15 16:23:54,188 INFO  SwAddin.cs: 294 - Assembly export called for file 装配体2
2023-09-15 16:23:54,189 INFO  SwAddin.cs: 299 - Save is required
2023-09-15 16:23:54,189 INFO  SwAddin.cs: 313 - Saving assembly
2023-09-15 16:23:54,190 INFO  SwAddin.cs: 316 - Opening property manager
2023-09-15 16:23:54,224 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 装配体2
2023-09-15 16:23:54,227 INFO  ExportHelperExtension.cs: 1136 - Found 22 in 装配体2
2023-09-15 16:23:54,227 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in 装配体2
2023-09-15 16:23:54,228 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2023-09-15 16:23:54,228 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2023-09-15 16:23:54,229 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from door_base-1
2023-09-15 16:23:54,230 INFO  ExportHelperExtension.cs: 1136 - Found 33 in door_base-1
2023-09-15 16:23:54,230 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in door_base-1
2023-09-15 16:23:54,230 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from valve_without_cir-1
2023-09-15 16:23:54,231 INFO  ExportHelperExtension.cs: 1136 - Found 34 in valve_without_cir-1
2023-09-15 16:23:54,231 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in valve_without_cir-1
2023-09-15 16:23:54,231 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 装配体2
2023-09-15 16:23:54,232 INFO  ExportHelperExtension.cs: 1136 - Found 22 in 装配体2
2023-09-15 16:23:54,232 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in 装配体2
2023-09-15 16:23:54,232 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2023-09-15 16:23:54,232 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2023-09-15 16:23:54,233 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from door_base-1
2023-09-15 16:23:54,233 INFO  ExportHelperExtension.cs: 1136 - Found 33 in door_base-1
2023-09-15 16:23:54,233 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in door_base-1
2023-09-15 16:23:54,233 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from valve_without_cir-1
2023-09-15 16:23:54,234 INFO  ExportHelperExtension.cs: 1136 - Found 34 in valve_without_cir-1
2023-09-15 16:23:54,234 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in valve_without_cir-1
2023-09-15 16:23:54,491 INFO  SwAddin.cs: 339 - Loading config tree
2023-09-15 16:23:54,493 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2023-09-15 16:23:54,495 INFO  SwAddin.cs: 344 - Showing property manager
2023-09-15 16:23:58,599 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-09-15 16:24:15,077 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2023-09-15 16:24:16,327 INFO  ExportHelperExtension.cs: 347 - Creating joint link_1
2023-09-15 16:24:16,331 INFO  ExportHelperExtension.cs: 1397 - Fixing components for base_link
2023-09-15 16:24:16,332 INFO  ExportHelperExtension.cs: 1402 - Fixing 17
2023-09-15 16:24:16,418 INFO  ExportHelperExtension.cs: 832 - R1: 0, 0
2023-09-15 16:24:16,418 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
2023-09-15 16:24:16,419 INFO  ExportHelperExtension.cs: 849 - L1: 0
2023-09-15 16:24:16,419 INFO  ExportHelperExtension.cs: 857 - L2: 0
2023-09-15 16:24:16,442 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 17
2023-09-15 16:24:17,250 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child link_1 failed
2023-09-15 16:24:17,322 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 装配体2
2023-09-15 16:24:17,324 INFO  ExportHelperExtension.cs: 1136 - Found 26 in 装配体2
2023-09-15 16:24:17,325 INFO  ExportHelperExtension.cs: 1145 - Found 2 features of type [CoordSys] in 装配体2
2023-09-15 16:24:17,325 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2023-09-15 16:24:17,325 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2023-09-15 16:24:17,326 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from door_base-1
2023-09-15 16:24:17,326 INFO  ExportHelperExtension.cs: 1136 - Found 33 in door_base-1
2023-09-15 16:24:17,327 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in door_base-1
2023-09-15 16:24:17,327 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from valve_without_cir-1
2023-09-15 16:24:17,327 INFO  ExportHelperExtension.cs: 1136 - Found 34 in valve_without_cir-1
2023-09-15 16:24:17,327 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in valve_without_cir-1
2023-09-15 16:24:17,328 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 装配体2
2023-09-15 16:24:17,328 INFO  ExportHelperExtension.cs: 1136 - Found 26 in 装配体2
2023-09-15 16:24:17,328 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in 装配体2
2023-09-15 16:24:17,329 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2023-09-15 16:24:17,329 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2023-09-15 16:24:17,330 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from door_base-1
2023-09-15 16:24:17,330 INFO  ExportHelperExtension.cs: 1136 - Found 33 in door_base-1
2023-09-15 16:24:17,330 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in door_base-1
2023-09-15 16:24:17,330 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from valve_without_cir-1
2023-09-15 16:24:17,331 INFO  ExportHelperExtension.cs: 1136 - Found 34 in valve_without_cir-1
2023-09-15 16:24:17,331 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in valve_without_cir-1
2023-09-15 16:24:17,379 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-09-15 16:25:40,283 INFO  AssemblyExportForm.cs: 253 - Completing URDF export
2023-09-15 16:25:40,290 INFO  ConfigurationSerialization.cs: 276 - URDF Configuration found
